timestamp,ch1_celsius,ch2_celsius,ch3_celsius,ch4_celsius
2025-12-03T16:49:28.037646,30.0,ERROR,ERROR,ERROR
2025-12-03T16:49:28.564053,30.1,ERROR,ERROR,ERROR
2025-12-03T16:49:29.088706,30.1,ERROR,ERROR,ERROR
2025-12-03T16:49:29.613224,30.2,ERROR,ERROR,ERROR
2025-12-03T16:49:30.136857,30.2,ERROR,ERROR,ERROR
2025-12-03T16:49:30.660760,30.2,ERROR,ERROR,ERROR
2025-12-03T16:49:31.184943,30.3,ERROR,ERROR,ERROR
2025-12-03T16:49:31.708644,30.3,ERROR,ERROR,ERROR
2025-12-03T16:49:32.233120,30.4,ERROR,ERROR,ERROR
2025-12-03T16:49:32.756636,30.4,ERROR,ERROR,ERROR
2025-12-03T16:49:33.281312,30.5,ERROR,ERROR,ERROR
2025-12-03T16:49:33.804828,30.6,ERROR,ERROR,ERROR
2025-12-03T16:49:34.328371,30.6,ERROR,ERROR,ERROR
2025-12-03T16:49:34.851849,30.6,ERROR,ERROR,ERROR
2025-12-03T16:49:35.376448,30.7,ERROR,ERROR,ERROR
2025-12-03T16:49:35.905695,30.7,ERROR,ERROR,ERROR
2025-12-03T16:49:36.432150,30.8,ERROR,ERROR,ERROR
2025-12-03T16:49:36.956388,30.8,ERROR,ERROR,ERROR
2025-12-03T16:49:37.481814,30.8,ERROR,ERROR,ERROR
2025-12-03T16:49:38.005691,30.9,ERROR,ERROR,ERROR
2025-12-03T16:49:38.530925,30.9,ERROR,ERROR,ERROR
2025-12-03T16:49:39.054579,30.9,ERROR,ERROR,ERROR
2025-12-03T16:49:39.579128,31.0,ERROR,ERROR,ERROR
2025-12-03T16:49:40.104619,31.0,ERROR,ERROR,ERROR
2025-12-03T16:49:40.632312,31.0,ERROR,ERROR,ERROR
2025-12-03T16:49:41.156050,31.1,ERROR,ERROR,ERROR
2025-12-03T16:49:41.679412,31.1,ERROR,ERROR,ERROR
2025-12-03T16:49:42.203070,31.2,ERROR,ERROR,ERROR
2025-12-03T16:49:42.726550,31.2,ERROR,ERROR,ERROR
2025-12-03T16:49:43.250401,31.2,ERROR,ERROR,ERROR
2025-12-03T16:49:43.774730,31.3,ERROR,ERROR,ERROR
2025-12-03T16:49:44.298368,31.3,ERROR,ERROR,ERROR
2025-12-03T16:49:44.821935,31.4,ERROR,ERROR,ERROR
2025-12-03T16:49:45.345610,31.5,ERROR,ERROR,ERROR
2025-12-03T16:49:45.870449,31.5,ERROR,ERROR,ERROR
2025-12-03T16:49:46.394738,31.6,ERROR,ERROR,ERROR
2025-12-03T16:49:46.918031,31.6,ERROR,ERROR,ERROR
2025-12-03T16:49:47.441998,31.6,ERROR,ERROR,ERROR
2025-12-03T16:49:47.965202,31.7,ERROR,ERROR,ERROR
2025-12-03T16:49:48.491753,31.8,ERROR,ERROR,ERROR
2025-12-03T16:49:49.015612,31.8,ERROR,ERROR,ERROR
2025-12-03T16:49:49.539220,31.9,ERROR,ERROR,ERROR
2025-12-03T16:49:50.062700,31.9,ERROR,ERROR,ERROR
